semesters_completed,cpi,internal_marks_percentage,attendance_percentage,total_backlogs,study_hours_weekly,pyq_solving_frequency,sleep_category,gaming_hours_weekly,extra_curricular_level,travel_time_category,department,performance_score,performance_category
0,7.39,77.9,77.1,-1,18.8,4,6-8,3.6,High,<30,CE,73.42,Good
3,5.88,59.2,71.7,2,13.8,2,>8,9.3,Low,<30,EE,52.7,Average
7,7.16,69.9,87.3,1,21.8,3,<6,5.1,Low,<30,ICT,68.24,Good
7,8.76,90.1,87.0,0,18.8,4,<6,4.0,High,30-60,EC,78.79,Excellent
0,6.36,52.9,72.6,-1,16.5,3,6-8,11.9,Low,<30,EE,59.69,Good
1,6.92,54.4,78.6,3,12.1,3,<6,5.6,Low,<30,EC,56.11,Average
0,5.24,88.3,98.0,-1,22.8,4,<6,2.5,Low,30-60,IT,71.4,Good
6,7.31,63.5,84.1,1,17.3,2,<6,6.0,Medium,<30,EC,65.74,Good
0,9.83,50.3,65.8,-1,8.0,2,>8,13.5,Low,<30,ME,62.7,Good
1,6.81,60.8,83.0,2,28.2,3,<6,7.3,High,>60,EC,61.67,Good
2,6.16,48.2,67.3,8,16.4,2,>8,8.1,Medium,<30,IT,42.79,Below Average
7,5.88,47.1,74.1,4,8.7,1,<6,10.9,High,<30,IT,44.29,Average
5,5.85,51.5,90.1,1,13.0,2,6-8,4.2,Low,30-60,ME,59.55,Good
4,4.23,39.8,76.3,4,3.0,0,>8,13.5,Medium,<30,ICT,37.45,Below Average
6,4.85,34.9,59.0,3,12.9,1,>8,20.0,Medium,<30,ME,37.4,Below Average
5,6.94,49.5,55.3,4,15.1,2,>8,11.8,Low,<30,EE,45.56,Average
5,4.87,46.0,64.0,5,3.0,1,<6,6.5,Low,>60,EC,32.09,At Risk
0,9.69,61.2,73.7,-1,11.3,2,6-8,5.0,Low,<30,ME,70.67,Good
4,5.04,54.9,57.9,1,16.9,0,<6,14.5,Medium,30-60,IT,42.7,Below Average
6,4.97,46.4,59.4,8,14.9,0,<6,13.9,High,<30,EE,29.26,At Risk
4,7.53,86.0,82.0,0,21.2,4,6-8,1.4,High,>60,EC,75.11,Good
