semesters_completed,cpi,internal_marks_percentage,attendance_percentage,total_backlogs,study_hours_weekly,pyq_solving_frequency,sleep_category,gaming_hours_weekly,extra_curricular_level,travel_time_category,department
0,7.39,77.9,77.1,-1,18.8,4,6-8,3.6,High,<30,CE
3,5.88,59.2,71.7,2,13.8,2,>8,9.3,Low,<30,EE
7,7.16,69.9,87.3,1,21.8,3,<6,5.1,Low,<30,ICT
7,8.76,90.1,87.0,0,18.8,4,<6,4.0,High,30-60,EC
0,6.36,52.9,72.6,-1,16.5,3,6-8,11.9,Low,<30,EE
1,6.92,54.4,78.6,3,12.1,3,<6,5.6,Low,<30,EC
0,5.24,88.3,98.0,-1,22.8,4,<6,2.5,Low,30-60,IT
6,7.31,63.5,84.1,1,17.3,2,<6,6.0,Medium,<30,EC
0,9.83,50.3,65.8,-1,8.0,2,>8,13.5,Low,<30,ME
1,6.81,60.8,83.0,2,28.2,3,<6,7.3,High,>60,EC
2,6.16,48.2,67.3,8,16.4,2,>8,8.1,Medium,<30,IT
7,5.88,47.1,74.1,4,8.7,1,<6,10.9,High,<30,IT
5,5.85,51.5,90.1,1,13.0,2,6-8,4.2,Low,30-60,ME
4,4.23,39.8,76.3,4,3.0,0,>8,13.5,Medium,<30,ICT
6,4.85,34.9,59.0,3,12.9,1,>8,20.0,Medium,<30,ME
5,6.94,49.5,55.3,4,15.1,2,>8,11.8,Low,<30,EE
5,4.87,46.0,64.0,5,3.0,1,<6,6.5,Low,>60,EC
0,9.69,61.2,73.7,-1,11.3,2,6-8,5.0,Low,<30,ME
4,5.04,54.9,57.9,1,16.9,0,<6,14.5,Medium,30-60,IT
6,4.97,46.4,59.4,8,14.9,0,<6,13.9,High,<30,EE
4,7.53,86.0,82.0,0,21.2,4,6-8,1.4,High,>60,EC
0,9.07,68.0,71.3,-1,15.1,1,6-8,9.6,Medium,<30,ICT
2,6.42,64.1,77.6,2,18.5,3,6-8,5.8,High,30-60,IT
7,4.98,28.8,63.1,7,10.3,1,<6,10.8,High,<30,IT
5,5.31,50.9,80.4,1,17.7,1,>8,10.5,Medium,<30,CE
5,5.74,55.8,91.5,1,15.1,2,<6,10.8,Medium,30-60,ME
5,5.7,43.9,62.6,4,9.9,0,6-8,12.0,Low,>60,EC
1,6.73,58.1,77.6,0,9.6,3,6-8,8.9,Medium,<30,ME
0,9.08,74.1,80.3,-1,12.9,3,>8,9.2,Low,30-60,IT
3,6.09,39.1,73.5,2,16.6,2,6-8,10.8,Medium,<30,IT
3,5.08,55.4,66.8,3,8.2,2,<6,1.6,Low,<30,CE
6,8.11,82.5,100.0,0,19.8,4,6-8,2.0,High,>60,CE
1,7.37,68.1,66.5,3,13.9,2,>8,6.5,Medium,30-60,ME
2,5.08,53.2,69.2,8,6.1,2,6-8,14.6,Medium,<30,ME
0,7.59,71.2,81.6,-1,22.4,3,<6,4.4,High,<30,IT
3,4.66,52.9,55.6,6,13.3,0,<6,10.9,High,<30,ICT
2,7.48,55.2,80.0,2,10.4,3,<6,6.8,Medium,30-60,EC
2,4.03,35.8,55.7,6,4.3,0,<6,16.2,Low,<30,ICT
2,5.75,39.2,70.5,3,9.9,0,6-8,11.5,High,30-60,IT
2,6.32,64.6,68.3,2,16.4,2,6-8,6.5,Medium,30-60,IT
2,6.82,74.0,93.6,2,14.2,3,6-8,4.7,Medium,30-60,CE
4,6.17,56.4,75.4,3,17.9,3,6-8,6.0,Medium,>60,ICT
3,6.7,80.3,70.0,2,9.5,2,<6,5.6,Medium,>60,CE
0,5.63,71.2,76.9,-1,10.6,2,<6,5.4,Medium,30-60,ICT
3,4.41,51.4,63.4,4,7.0,0,>8,12.5,High,<30,IT
6,5.71,55.8,78.7,6,10.1,0,<6,12.7,High,<30,CE
1,5.73,54.6,82.3,3,16.1,1,>8,11.6,Low,>60,ME
7,8.16,70.0,72.3,0,25.7,3,6-8,2.1,Medium,>60,ME
2,6.65,66.8,74.9,1,12.5,1,6-8,8.9,High,30-60,ME
0,5.99,46.6,65.4,-1,5.6,2,<6,14.2,Low,>60,CE
2,7.67,85.6,79.1,4,11.6,3,<6,10.0,Low,30-60,ME
0,6.38,73.3,69.1,-1,8.6,2,6-8,10.3,Low,<30,IT
4,5.38,52.6,74.6,2,13.9,1,<6,8.1,Low,<30,ME
2,7.06,60.6,85.3,1,30.6,4,6-8,10.2,Medium,>60,ICT
6,7.72,68.5,78.4,1,16.3,4,6-8,5.2,Low,<30,ME
5,7.81,74.0,77.2,2,20.6,4,6-8,7.2,Medium,<30,ICT
3,5.56,49.2,59.2,2,11.6,1,<6,17.4,Low,<30,CE
4,6.63,61.9,82.3,0,13.5,3,<6,4.7,Low,<30,EE
4,6.75,64.2,75.1,3,14.0,4,6-8,9.2,Medium,>60,EC
2,6.78,62.2,89.4,0,23.0,4,6-8,0.5,Medium,30-60,ME
1,5.64,48.2,60.4,4,4.9,1,<6,7.3,Low,30-60,ME
3,6.85,64.2,69.8,2,15.2,2,6-8,8.3,Low,<30,CE
0,7.57,56.7,62.7,-1,13.8,1,6-8,9.2,High,<30,IT
2,5.7,48.1,58.5,8,8.8,0,6-8,8.5,Medium,<30,CE
4,8.52,72.4,84.2,0,14.3,4,6-8,5.7,Low,30-60,ME
4,7.75,90.4,83.2,0,16.8,5,6-8,0.0,Low,<30,EC
1,7.47,67.1,82.6,3,17.6,2,6-8,5.2,Low,30-60,ME
0,6.97,80.6,84.4,-1,19.6,2,6-8,6.8,High,30-60,CE
0,6.52,56.9,74.4,-1,11.5,2,6-8,5.5,Low,<30,IT
0,8.76,36.5,80.9,-1,14.0,2,<6,10.6,Medium,>60,EE
3,6.77,72.7,86.7,4,17.2,3,<6,9.6,Medium,>60,ICT
3,8.32,74.8,70.2,0,19.8,3,>8,4.8,High,<30,ME
2,5.63,78.8,76.8,2,16.7,1,>8,5.8,Low,<30,EE
2,8.31,85.7,88.6,0,18.3,4,<6,9.1,Low,<30,CE
3,3.31,34.4,56.5,6,3.4,0,<6,17.1,Medium,30-60,ICT
0,8.07,68.1,74.7,-1,20.1,3,>8,4.7,Low,<30,ICT
2,5.96,66.1,83.4,1,17.3,3,<6,6.2,Low,30-60,EC
3,6.0,51.2,70.6,7,9.8,2,>8,12.8,Medium,<30,EE
0,7.54,61.7,63.6,-1,15.0,1,6-8,7.4,Medium,<30,IT
6,4.1,40.8,57.9,4,3.3,0,<6,11.6,High,<30,IT
5,5.64,58.1,69.0,5,13.2,3,>8,16.4,High,30-60,ME
3,6.7,64.2,73.8,0,26.5,1,<6,0.7,Low,<30,CE
1,8.48,80.1,95.0,0,16.1,4,<6,4.1,Low,<30,IT
1,5.48,62.3,76.0,2,10.1,0,<6,9.9,Medium,>60,CE
1,5.42,38.8,83.7,4,13.8,0,6-8,11.8,Medium,>60,CE
1,5.91,59.8,84.7,6,15.0,2,<6,10.2,High,<30,EC
3,8.11,74.3,75.3,1,22.6,3,6-8,6.4,Medium,<30,ICT
