last_sem_spi,internal_assessment_avg,attendance_percentage,total_backlogs,pyq_solving_frequency,study_hours_weekly,sleep_category,gaming_hours_weekly,assignment_delay_count,department,travel_time_category,extra_curricular_level,sleep_score,travel_score,extra_score,ps,performance_category
4.37,73.8,43.9,3,0,46.9,<6,6.9,3,EE,30-60,Low,0.3,0.7,0.3,38.25,At Risk
9.56,41.1,27.6,1,0,9.0,6-8,17.8,0,ME,>60,High,1.0,0.4,1.0,43.6,Average
7.59,50.8,30.1,1,1,16.8,>8,15.2,2,EE,<30,Low,0.8,1.0,0.3,37.26,At Risk
6.39,69.8,34.5,0,3,17.3,6-8,18.3,1,EE,30-60,High,1.0,0.7,1.0,55.7,Average
2.4,58.9,36.3,2,2,34.4,<6,7.9,2,EC,<30,Medium,0.3,1.0,0.7,28.89,At Risk
2.4,74.3,39.4,1,0,40.2,<6,23.4,0,EE,30-60,High,0.3,0.7,1.0,37.25,At Risk
1.52,87.7,40.4,1,0,33.8,<6,11.4,0,IT,30-60,Medium,0.3,0.7,0.7,39.64,At Risk
8.8,37.0,56.5,1,3,25.1,6-8,25.7,1,ICT,<30,Medium,1.0,1.0,0.7,51.53,Average
6.41,72.6,60.8,1,2,16.3,6-8,6.6,0,CE,30-60,Medium,1.0,0.7,0.7,60.93,Average
7.37,43.8,44.7,0,2,46.8,6-8,29.9,0,IT,<30,Low,1.0,1.0,0.3,51.69,Average
1.19,54.9,92.6,1,5,13.2,<6,10.2,1,EE,>60,Medium,0.3,0.4,0.7,43.71,Average
9.73,32.0,64.3,0,2,39.6,>8,3.1,1,ICT,>60,Medium,0.8,0.4,0.7,64.27,Average
8.49,38.2,83.0,3,0,12.1,6-8,1.3,1,CE,30-60,Medium,1.0,0.7,0.7,47.52,Average
2.91,49.2,93.9,1,1,24.0,6-8,18.1,0,CE,>60,Medium,1.0,0.4,0.7,44.92,Average
2.64,50.5,33.1,0,3,18.6,>8,13.2,0,EC,<30,Medium,0.8,1.0,0.7,33.48,At Risk
2.65,84.0,54.2,0,2,17.9,6-8,17.5,2,ICT,<30,Low,1.0,1.0,0.3,45.63,Average
3.74,74.5,54.7,0,5,18.8,<6,5.1,3,CE,30-60,High,0.3,0.7,1.0,53.83,Average
5.72,88.3,48.4,2,1,42.1,<6,11.3,2,EE,<30,Low,0.3,1.0,0.3,53.28,Average
4.89,65.9,20.7,1,2,15.4,>8,13.1,1,ME,30-60,Low,0.8,0.7,0.3,37.21,At Risk
3.62,44.5,85.3,2,0,15.1,6-8,11.4,6,EE,30-60,High,1.0,0.7,1.0,27.88,At Risk
6.51,49.7,28.9,2,2,20.0,<6,25.9,2,ICT,30-60,High,0.3,0.7,1.0,32.14,At Risk
2.26,49.2,99.6,0,5,34.2,>8,19.8,2,EC,30-60,Medium,0.8,0.7,0.7,53.45,Average
3.63,49.6,81.8,0,0,29.9,6-8,24.1,2,IT,30-60,Low,1.0,0.7,0.3,39.16,At Risk
4.3,70.4,66.4,1,3,24.1,>8,20.9,1,ICT,<30,Medium,0.8,1.0,0.7,51.62,Average
